,Title,Media,Update,Timestamp,Description,Link,Image,Text
10,"Mumbai News Live Updates: Maharashtra govt announces Rs 10,000 compensation for flood-hit families in Nagpur",The Indian Express,4 hours ago,2023-09-24 21:31:59.901990,,https://indianexpress.com/article/cities/mumbai/mumbai-news-live-updates-nagpur-rains-rescue-weather-eknath-shinde-ajit-pawar-8953585/&ved=2ahUKEwi6tPSChcSBAxVcwjgGHTh6CkYQxfQBegQIAhAC&usg=AOvVaw1QdiJEP8VPVwf7CuuZEBCu,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Oops! There was a problem!

Sorry, but we can't find what you were looking for right now."
11,Fake celebrity photo leak videos flood TikTok with Temu referral codes,Bleeping Computer,5 hours ago,2023-09-24 20:32:01.013296,,https://www.bleepingcomputer.com/news/security/fake-celebrity-photo-leak-videos-flood-tiktok-with-temu-referral-codes/&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgDEAI&usg=AOvVaw1RNhe5YvstR7zvcEHGEZVE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","How to remove Google Redirects or the TDSS, TDL3, or Alureon rootkit using TDSSKiller"
12,Ophelia continues to pound Jersey Shore; rain totals near 5 inches in some areas,Asbury Park Press,5 hours ago,2023-09-24 20:32:00.978887,,https://www.app.com/story/weather/2023/09/24/rain-coastal-flooding-from-ophelia-expected-sunday/70953432007/&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgCEAI&usg=AOvVaw2PnBUAmSXSDvWQFyfjcoak,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","404

PAGE NOT FOUND

Sorry, the link you're trying to access is either broken or no longer exists.

Please use the search bar or take a look at some of our trending stories below."
13,"World Flood Update: दुनिया में भयंकर तूफानों का साया, क्या आने वाली है बड़ी तबाही? Weather Alert",YouTube,5 hours ago,2023-09-24 20:32:00.946420,,https://www.youtube.com/watch%3Fv%3DLSRMxfO6Vbk&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgFEAI&usg=AOvVaw0U3JsBHojozFQsS78YDwRy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service . The block will expire shortly after those requests stop.This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may see this page if you are using advanced terms that robots are known to use, or sending requests very quickly."
14,Jubilee Hills faces floods as concrete jungle traps rain,The Times of India,5 hours ago,2023-09-24 20:32:00.914985,,https://m.timesofindia.com/city/hyderabad/jubilee-hills-faces-floods-as-concrete-jungle-traps-rain/articleshow/103911676.cms&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgGEAI&usg=AOvVaw1VnbwvnopzSctu_t67p6j5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","404 Page Not Found

We're sorry, we seem to have lost this page, but we don't want to lose you."
15,"India Flood Update: भारत में कुदरत का खौफनाक कहर, पूरी तरह बर्बाद हो गए ये शहर! Nagpur | Rain Alert",YouTube,5 hours ago,2023-09-24 20:32:00.874660,,https://www.youtube.com/watch%3Fv%3D7POcpoTUm_0&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgJEAI&usg=AOvVaw3IqGJN0VNAjF8q7pKl730h,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service . The block will expire shortly after those requests stop.This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may see this page if you are using advanced terms that robots are known to use, or sending requests very quickly."
16,Tributes and condolences flood in after Lancashire Police launch murder investigation into death of woman,Yahoo News UK,6 hours ago,2023-09-24 19:32:01.163243,,https://uk.news.yahoo.com/tributes-condolences-flood-lancashire-police-134045926.html&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgHEAI&usg=AOvVaw1eXmFA10u1lK9TNKS2IXFx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Police at an address on Redcar Road on Thursday (Photo: National World)

Officers were called out to Redcar Road, Blackpool at 10:56am on Thursday (September 21st) by the North West Ambulance Service, which had reported an unexpected death.

READ MORE: Lancashire Police launch murder investigation after woman found dead with multiple injuries

When officers arrived, they found a deceased woman in her 50s who has now been identified as Alison Dodds. The post mortem revealed that she suffered multiple injuries, with the authorities now treating her death as suspicious and asking for the public’s help with their enquiries.

Police at an address on Redcar Road on Thursday (Photo: National World)

Jackie Thomas wrote on Facebook “Heartbreaking news. RIP. Heartfelt thoughts with family and friends, fly high,” while Teresa Wilson added “What has this world become? So sad, RIP.”

Trish Connor wrote “Condolences to Alison’s family. I hope you find the culprits quickly,” while KellyAnne Walsh commented “Shocking,” and Els Rach wrote “How very sad.” Samantha Curtis added “Another one. What is Blackpool coming to?” while Tracey Jenkinson commented “Very sad. Her poor family. Scary place we live in nowadays.”

June Stoodley said “RIP Alison, fly high, will get justice for you,” while Heather O Hanlon said “RIP Alison, you were a true diamond.”

The murder investigation comes off the back of other recent incidents in the Gynn Square area, with police having also found a man in his 50s found dead inside a flat.

Three police cars, including a crime scene investigation team, and a private ambulance were seen close to Warbreck Hill last Thursday September 21 but, following police investigations, officers now believe his death was non suspicious.

There was also extensive recent police and forensic activity in the Seafield Road area in connection with the murder of Eddie Forrester."
17,Cook County FEMA assistance continues for victims of summer flooding,YouTube,6 hours ago,2023-09-24 19:32:01.126270,,https://www.youtube.com/watch%3Fv%3DTpjjg6GSo4Q&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgAEAI&usg=AOvVaw3-WxorlDm34lcMc6hS0GPb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","This page appears when Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service . The block will expire shortly after those requests stop.This traffic may have been sent by malicious software, a browser plug-in, or a script that sends automated requests. If you share your network connection, ask your administrator for help — a different computer using the same IP address may be responsible. Learn more Sometimes you may see this page if you are using advanced terms that robots are known to use, or sending requests very quickly."
18,Greenville police officer rescues dog from flood waters,FOX Carolina,6 hours ago,2023-09-24 19:32:01.088713,,https://www.foxcarolina.com/2023/09/24/greenville-police-officer-rescues-dog-flood-waters/&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgEEAI&usg=AOvVaw1o0VxXb5-fhRIdovtGI3Qc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Sorry, we couldn't locate the page you requested. Here are some of our most read articles that might interest you."
19,"Ophelia Remnants In MD To Bring Rain, Coastal Flooding: NWS",Patch,6 hours ago,2023-09-24 19:32:01.053459,,https://patch.com/maryland/baltimore/ophelia-remnants-md-bring-rain-coastal-flooding-nws&ved=2ahUKEwiGm5aGhcSBAxUOzzgGHY_cA9A4ChDF9AF6BAgIEAI&usg=AOvVaw1-10ler7KWYijV-R_KfiXr,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Weather Ophelia Remnants In MD To Bring Rain, Coastal Flooding: NWS The remnants of Ophelia are moving out of Maryland Sunday, with another 1 to 2 inches of rain forecast in the Baltimore region, NWS said. Reply

The remnants of former Tropical Storm Ophelia are moving north out of Maryland Sunday, with another 1 to 2 inches of rain forecast in the Baltimore region. A coastal flooding warning is in effect for Anne Arundel and Baltimore counties, the NWS said. (NOAA)

MARYLAND — The remnants of former Tropical Storm Ophelia are moving north out of Maryland Sunday, with another 1 to 2 inches of rain forecast in the Baltimore region. Coastal flooding is possible in Anne Arundel and Baltimore counties, and about 3,000 people in the state are without power.

At 5 a.m., the center of post-Tropical Cyclone Ophelia was located about 85 miles south of Washington, D.C. The storm had maximum sustained winds of 25 mph with higher gusts and was moving north-northeast at 12 mph. Wind and flood advisories have expired, although a coastal flood warning is in effect until 6 p.m. for Baltimore, Anne Arundel and St. Mary's counties until 5 p.m. Up to one half foot of inundation above ground level in low-lying areas due to tidal flooding is expected in southern Baltimore County and the city of Baltimore. Tides 2 to 2.5 feet above normal are forecast.

The most power outages are reported in Anne Arundel County, where 1,257 customers were without power at 9:30 a.m. Sunday, according to PowerOutage.US. Organizers of Artscape in Baltimore, which was canceled on Saturday, said festivities are back on from noon to 5 p.m. Sunday.

While the storm moves on, it won't be great beach weather on the Eastern Shore. ""Swells generated by Ophelia will continue to affect much of the East Coast of the United States through today,"" the NWS said. ""These swells are likely to cause life-threatening surf and rip current conditions."" The weather this week will feel more like fall, with daily high temperatures in the upper 60s through Wednesday before inching into the low 70s at the end of the week.

Here's the latest Maryland forecast: Sunday: Rain, mainly before 11am. High near 69. East wind 6 to 10 mph becoming southwest in the afternoon. Chance of precipitation is 80%. New precipitation amounts between a quarter and half of an inch possible.

Sunday Night: A chance of rain before 8pm, then a slight chance of showers after 8pm. Mostly cloudy, with a low around 60. Northwest wind around 7 mph. Chance of precipitation is 30%. Monday: A slight chance of showers after 2pm. Cloudy, with a high near 69. North wind 8 to 10 mph. Chance of precipitation is 20%. Monday Night: A chance of showers, mainly after 8pm. Cloudy, with a low around 58. Northeast wind 11 to 13 mph, with gusts as high as 18 mph. Chance of precipitation is 40%. Tuesday: A slight chance of showers. Mostly cloudy, with a high near 68. Northeast wind around 14 mph, with gusts as high as 20 mph. Chance of precipitation is 20%. Tuesday Night: A slight chance of showers before 2am. Mostly cloudy, with a low around 56. Chance of precipitation is 20%."
